case_id,case_number,date_time,primary_type,description,location_description,district,ward,criminal_id,
10305683,HY494675,11/08/2015 11:45:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,10,24,36,
10305692,HY494697,11/09/2015 12:25:00 AM,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,PARK PROPERTY,3,5,44,
10305693,HY494611,11/08/2015 10:15:00 PM,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE,10,24,155,
10305696,HY494689,11/09/2015 12:00:00 AM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,6,8,12,
10305700,HY494652,11/08/2015 11:15:00 PM,NARCOTICS,POSS: CRACK,RESIDENTIAL YARD (FRONT/BACK),5,34,8,
10305723,HY494733,11/09/2015 02:10:00 AM,OTHER OFFENSE,PAROLE VIOLATION,VEHICLE NON-COMMERCIAL,4,7,106,
10305729,HY494743,11/09/2015 02:37:00 AM,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,7,17,3,
10305732,HY494754,11/09/2015 03:52:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,7,6,3,
10305743,HY494747,11/09/2015 02:50:00 AM,ASSAULT,SIMPLE,APARTMENT,7,6,22,
10305765,HY494774,11/09/2015 05:08:00 AM,CRIMINAL TRESPASS,TO LAND,CTA STATION,7,6,84,
10305785,HY493916,11/08/2015 09:24:00 AM,CRIMINAL TRESPASS,TO LAND,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,6,21,73,
